"","Date","Address","Type","Total","Unit","Building","Area","Age","Floor","Pattern","District","Year","month","MRT","Room","Hall","Bath"
"1","107年05月","中正區公園路31~60號                                
                                                                            ","住宅大樓",2776,78,35.61,2.79,31.5,10,"2房/1廳/1衛","中正",107,5,"                                                    
                                                                
                                    近捷運 台大醫院站 》",2,1,1
"2","107年04月","中正區重慶南路三段151~180號                                
                                                                            ","純車位",100,NA,4.89,0.04,6.1,1,"0房/0廳/0衛","中正",107,4,"",0,0,0
"3","107年04月","中正區晉江街126巷1~30號                                
                                                                            ","公寓",1100,57.1,19.26,6.23,36.3,5,"3房/2廳/2衛","中正",107,4,"                                                    
                                                                
                                    近捷運 台電大樓站 》",3,2,2
"4","107年04月","中正區連雲街26巷1~30號                                
                                                                            ","套房",720,94.3,7.63,3.93,NA,1,"1房/1廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 大安森林公園站 》                                
                                                                
                                    近捷運 東門站 》",1,1,1
"5","107年04月","中正區臨沂街29巷1~30號                                
                                                                            ","華廈                                                含車位",3700,84.2,50.5,11.73,25.4,4,"3房/2廳/2衛","中正",107,4,"                                                    
                                                                
                                    近捷運 忠孝新生站 》                                
                                                                                                
                                    社區 冠德龍邸 》",3,2,2
"6","107年04月","中正區南昌路二段61~90號                                
                                                                            ","住宅大樓",2350,60.4,38.89,2.84,35.4,9,"4房/2廳/2衛","中正",107,4,"                                                    
                                                                
                                    近捷運 古亭站 》                                
                                                                                                
                                    社區 國都 》",4,2,2
"7","107年04月","中正區廈門街71巷1~30號                                
                                                                            ","公寓",970,46.3,20.97,8.39,48.7,3,"4房/1廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 古亭站 》",4,1,1
"8","107年04月","中正區水源路121~150號                                
                                                                            ","套房",460,44.3,10.38,1.06,39.1,7,"1房/1廳/1衛","中正",107,4,"",1,1,1
"9","107年04月","中正區泉州街18巷1~30號                                
                                                                            ","公寓",850,35.7,23.83,10.08,NA,2,"2房/1廳/1衛","中正",107,4,"",2,1,1
"10","107年04月","中正區晉江街48巷5弄1~30號                                
                                                                            ","套房",830,74.6,11.13,2.86,20.2,1,"1房/1廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 古亭站 》",1,1,1
"11","107年04月","中正區南昌路一段1~30號                                
                                                                            ","公寓",3840,169,22.72,6.14,NA,2,"2房/2廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 中正紀念堂站 》",2,2,1
"12","107年04月","中正區同安街72巷1~30號                                
                                                                            ","公寓",380,34.2,11.1,4.95,NA,4,"3房/1廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 古亭站 》",3,1,1
"13","107年04月","中正區青島東路1~30號                                
                                                                            ","華廈                                                含車位",2680,65.4,40.96,6.43,31.8,5,"3房/2廳/2衛","中正",107,4,"                                                    
                                                                
                                    近捷運 善導寺站 》                                
                                                                                                
                                    社區 青島國宅 》",3,2,2
"14","107年04月","中正區汀州路二段31~60號                                
                                                                            ","住宅大樓",1304,60.1,21.7,2.23,22.3,8,"2房/2廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 古亭站 》                                
                                                                                                
                                    社區 中正觀邸 》",2,2,1
"15","107年04月","中正區汀州路二段178巷1~30號                                
                                                                            ","華廈                                                含車位",2245,81.1,31.53,6.37,0.7,2,"2房/2廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 古亭站 》",2,2,1
"16","107年04月","中正區南昌路一段1~30號                                
                                                                            ","公寓",2734,115.2,23.73,4.49,46.6,5,"2房/1廳/1衛","中正",107,4,"                                                    
                                                                
                                    近捷運 中正紀念堂站 》",2,1,1
