"","OBJECTID","T_UID","Area","Town_ID","T_Name","Add_Date","Add_Accept","Remark","County_ID","C_Name"
"1",223,223,8682972.02093,"6300100","松山區",NA,NA,NA,"63","臺北市"
"2",224,224,11229135.8946,"6300200","信義區",NA,NA,NA,"63","臺北市"
"3",225,225,11331063.3144,"6300300","大安區",NA,NA,NA,"63","臺北市"
"4",226,226,13980827.9986,"6300400","中山區",NA,NA,NA,"63","臺北市"
"5",227,227,7460139.21018,"6300500","中正區",NA,NA,NA,"63","臺北市"
"6",228,228,4746129.35113,"6300600","大同區",NA,NA,NA,"63","臺北市"
"7",229,229,7456544.7829,"6300700","萬華區",NA,NA,NA,"63","臺北市"
"8",230,230,31245703.5853,"6300800","文山區",NA,NA,NA,"63","臺北市"
"9",231,231,21910080.4694,"6300900","南港區",NA,NA,NA,"63","臺北市"
"10",232,232,31987173.6518,"6301000","內湖區",NA,NA,NA,"63","臺北市"
"11",233,233,62124938.4764,"6301100","士林區",NA,NA,NA,"63","臺北市"
"12",234,234,57692611.2251,"6301200","北投區",NA,NA,NA,"63","臺北市"
