OBJECTID,T_UID,Area,Town_ID,T_Name,Add_Date,Add_Accept,Remark,County_ID,C_Name
127,127,49961968.3763,1001002,朴子市,,,,10010,嘉義縣
128,128,79043666.2541,1001003,布袋鎮,,,,10010,嘉義縣
129,129,64607516.1943,1001004,大林鎮,,,,10010,嘉義縣
130,130,84893479.7223,1001005,民雄鄉,,,,10010,嘉義縣
131,131,32418724.5388,1001006,溪口鄉,,,,10010,嘉義縣
132,132,66192611.3222,1001007,新港鄉,,,,10010,嘉義縣
133,133,62316875.364,1001008,六腳鄉,,,,10010,嘉義縣
134,134,81971937.3894,1001009,東石鄉,,,,10010,嘉義縣
135,135,78811652.1922,1001010,義竹鄉,,,,10010,嘉義縣
136,136,54538699.9481,1001011,鹿草鄉,,,,10010,嘉義縣
137,137,70055506.934,1001012,水上鄉,,,,10010,嘉義縣
138,138,130153303.538,1001013,中埔鄉,,,,10010,嘉義縣
139,139,156827168.131,1001014,竹崎鄉,,,,10010,嘉義縣
140,140,119491024.162,1001015,梅山鄉,,,,10010,嘉義縣
141,141,112395984.021,1001016,番路鄉,,,,10010,嘉義縣
142,142,174289884.107,1001017,大埔鄉,,,,10010,嘉義縣
1,1,10573374.2089,0900701,南竿鄉,,,,09007,連江縣
2,2,9318471.091,0900702,北竿鄉,,,,09007,連江縣
3,3,4863006.08473,0900703,莒光鄉,,,,09007,連江縣
4,4,4980209.16372,0900704,東引鄉,,,,09007,連江縣
5,5,22518400.2782,0902001,金城鎮,,,,09020,金門縣
6,6,54153976.1672,0902002,金沙鎮,,,,09020,金門縣
7,7,42151310.709,0902003,金湖鎮,,,,09020,金門縣
8,8,42564336.9988,0902004,金寧鄉,,,,09020,金門縣
9,9,21220669.6898,0902005,烈嶼鄉,,,,09020,金門縣
10,10,2396665.29491,0902006,烏坵鄉,,,,09020,金門縣
11,11,30430183.1998,1000201,宜蘭市,,,,10002,宜蘭縣
12,12,11275869.3132,1000202,羅東鎮,,,,10002,宜蘭縣
13,13,89576306.7232,1000203,蘇澳鎮,,,,10002,宜蘭縣
14,14,102494686.031,1000204,頭城鎮,,,,10002,宜蘭縣
15,15,100681271.395,1000205,礁溪鄉,,,,10002,宜蘭縣
16,16,39449780.4338,1000206,壯圍鄉,,,,10002,宜蘭縣
17,17,141530840.304,1000207,員山鄉,,,,10002,宜蘭縣
18,18,75129488.8174,1000208,冬山鄉,,,,10002,宜蘭縣
19,19,40278907.7676,1000209,五結鄉,,,,10002,宜蘭縣
20,20,88038015.8526,1000210,三星鄉,,,,10002,宜蘭縣
21,21,770020938.9,1000211,大同鄉,,,,10002,宜蘭縣
22,22,712519980.017,1000212,南澳鄉,,,,10002,宜蘭縣
23,23,34339119.6038,6800100,桃園區,2014/12/25,,,68,桃園市
24,24,76087729.4499,6800200,中壢區,2014/12/25,,,68,桃園市
25,25,105162698.545,6800300,大溪區,2014/12/25,,,68,桃園市
143,143,468342703.776,1001018,阿里山鄉,,,,10010,嘉義縣
26,26,89660599.4844,6800400,楊梅區,2014/12/25,,,68,桃園市
144,144,66046269.8195,1001301,屏東市,,,,10013,屏東縣
27,27,74826480.7321,6800500,蘆竹區,2014/12/25,,,68,桃園市
145,145,42525417.3544,1001302,潮州鎮,,,,10013,屏東縣
146,146,30823489.7914,1001303,東港鎮,,,,10013,屏東縣
147,147,140955896.778,1001304,恆春鎮,,,,10013,屏東縣
148,148,59279350.6725,1001305,萬丹鄉,,,,10013,屏東縣
28,28,90082275.295,6800600,大園區,2014/12/25,,,68,桃園市
29,29,71444534.8254,6800700,龜山區,2014/12/25,,,68,桃園市
30,30,33783239.7927,6800800,八德區,2014/12/25,,,68,桃園市
149,149,45792141.6786,1001306,長治鄉,,,,10013,屏東縣
31,31,75941049.6413,6800900,龍潭區,2014/12/25,,,68,桃園市
32,32,43467489.3477,6801000,平鎮區,2014/12/25,,,68,桃園市
